tier,dim,id,name,current_impl,delta_V,delta_A,delta_D,cost_min,sources,requires,description
3,V,shoulder_range,Shoulder Range of Motion,,0.3,0.4,0.2,3,Karg §4.1 reduced = sadness/depression,dof_angle,Range of shoulder pitch over primitive.
3,V,slumped_posture,Slumped Posture (spine angle sustained),,-0.6,-0.3,-0.4,3,Karg §4.1 (depression),root_rp_trig,Sustained forward pitch of spine/torso.
4,A,duration,Movement Duration,,-0.3,-0.5,0.0,,Karg §6.1.1 temporal extension,,Primitive windows fixed at 0.33s in DART — no variation to learn from.
4,A,muscle_tension,Muscle Tension,,-0.4,0.7,0.2,,Boone & Cunningham (fear),emg_or_co_contraction,Requires EMG or joint stiffness estimation — not feasible with kinematic only.
4,V,head_orientation_changes,Head Orientation Changes,,-0.2,0.3,0.0,,Busso et al.; Karg §4.2,link_pos_world; full_fk_head,Variability in head yaw/pitch (currently we have no explicit head FK output).
4,mixed,bap_categories,BAP 141 Behavioural Categories,,,,,,Dael et al. BAP,human_annotation,"Requires human-annotated categorical labels (emblems, illustrators...)."
4,mixed,delsarte_laws,Delsarte 9 Laws of Movement,,,,,,Delsarte (1811-1871),,"Altitude / Force / Sequence etc. Too abstract, mapped to Tier 1-3 above."
4,mixed,laban_effort_flow,Laban Effort · Flow (Free/Bound),,,,,,Laban 1947,,Approximated by `smoothness`.
4,mixed,laban_effort_space,Laban Effort · Space (Indirect/Direct),,,,,,Laban 1947,,Approximated by `directness` feature.
4,mixed,laban_effort_time,Laban Effort · Time (Sustained/Sudden),,,,,,Laban 1947,,Approximated by `jerk_l2` + `speed_variance`.
4,mixed,laban_effort_weight,Laban Effort · Weight (Light/Strong),,,,,,Laban 1947,,Approximated by `accel_peak`.
